,booktitle,id,page,page.location,type,book.id,book.page,book.type,anchor.text,interventions,Key,Item.Type,PublicationYear,Author,Publication.Title,Url,Abstract.Note,Date,Date.Added,Date.Modified,Short.Title,Publisher,Place,Language,Archive,Archive.Location,Manual.Tags
1,’— la recherche de l'essence du langage,https://derridas-margins.princeton.edu/references/de-la-grammatologie/62e/,62,e,Footnote,https://derridas-margins.princeton.edu/titles/144/,51,Journal Article,"p. 101. Au-del’¾ des scruples formul’©s par Saussure lui-m’éme, tout un syst’åme de critiques intra-linguistiques peut ’étre oppos’© ’¾ la th’åse de l'ÎâÎ¾arbitraire du signeÎ¾Î. Cf. Jakobson, *’— la recherche de l'essence du langage*, Diog’åne 51, et Martinet, *La linguistique synchronique*, p. 34. Mais ces critiques n'entament pas Š—– et n'y pr’©tendent d'ailleurs pas Š—– l'intention profonde de Saussure visant la discontinuit’© et l'immotivation propres ’¾ la structure sinon ’¾ l'origine du signe.",,AMFIBRJC,journalArticle,NA,"Jakobson, Roman",Diog’åne,https://derridas-margins.princeton.edu/titles/144/,1 reference,NA,8/10/18 19:18,8/10/18 19:18,Quest for the Essence of Language,,,,,,
2,A study of glossematics,https://derridas-margins.princeton.edu/references/de-la-grammatologie/83f/,83,f,Footnote,https://derridas-margins.princeton.edu/titles/20/,,Book,"Cf. aussi Eli Fischer-Jorgensen Îâ Remarques sur les principes de l'analyse phon’©matique Î, in *Recherches Structurales*, 1949 (*Travaux du Cercle linguistique de Prague*, vol. V, p. 231 sq.) ; B. Siertsema, *A study of glossematics*, 1955 (et notamment le ch. VI), et Hennings Spang-Hanssen, *Glossematics*, in *Trends in European and American linguistics. 1930-1960*, 1963, p. 147 sq.",,EJA76A4B,book,1955,"Siertsema, Bertha",,https://derridas-margins.princeton.edu/titles/20/,1 reference,1955,8/10/18 19:16,8/10/18 19:16,A study of glossematics,,The Hague,en,,,
3,"A study of writing the foundations of grammatology, 1952",https://derridas-margins.princeton.edu/references/de-la-grammatologie/13b/,13,b,Footnote,https://derridas-margins.princeton.edu/titles/98/,23,Book,"*Grammatologie*Î¾: ÎâÎ¾Trait’© des lettres, de l'alphabet, de la syllabation, de la lecture et de l'’©critureÎ¾Î, Littr’©. ’— notre connaissance, ce mot n'a ’©t’© utilis’©, de nos jours, pour d’©signer le projet d'une science moderne, que par I. J. Gelb. Cf. *A study of writing the foundations of grammatology*, 1952 (le sous-titre dispara’Ât dans la r’©’©dition de 1963). Malgr’© un souci de classification syst’©matique ou simplifi’©e et malgr’© des hypoth’åses controvers’©es sur la monog’©n’åse ou la polyg’©n’åse des ’©critures, ce livre r’©pond au mod’åle des histoires classiques de l'’©criture.",,RMZTT9V8,book,1963,"Gelb, Ignace J.",,https://derridas-margins.princeton.edu/titles/98/,1 reference,1963,8/10/18 19:18,8/10/18 19:18,A Study of Writing,The University of Chicago Press,Chicago,en,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9643,annotated; extant; digital edition
4,An essay towards a real character and a philosophical language,https://derridas-margins.princeton.edu/references/de-la-grammatologie/108e/,108,e,Citation,https://derridas-margins.princeton.edu/titles/28/,,Book,"C'est le pr’©jug’© ÎâÎ¾chinoisÎ¾ÎÎ¾: tous les projets philosophiques d'’©criture et de langage universels, pasilalie, polygraphie, pasigraphie, appel’©s par Descartes, esquiss’©s par le P. Kircher, Wilkins, Leibniz, etc., encourag’årent ’¾ voir dans l'’©criture chinoise, qu'on d’©couvrait alors, un mod’åle de langue philosophique ainsi soustrait ’¾ l'histoire. Telle est en tout cas la *fonction* du mod’åle chinois dans les projets de Leibniz.",,3AM2NAXK,book,1668,"Wilkins, John",,https://derridas-margins.princeton.edu/titles/28/,1 reference,1668,8/10/18 19:16,8/10/18 19:16,An essay towards a real character and a philosophical language,,,en,,,
5,Analyse et gen’åse : regards sur la th’©orie du devenir de l'entendement au XVIIIe si’åcle,https://derridas-margins.princeton.edu/references/de-la-grammatologie/317d/,317,d,Footnote,https://derridas-margins.princeton.edu/titles/175/,75,Journal Article,"J. Mosconi montre que l'’©tat de pure nature n'est pas absent de *l'Essai* et que l'Î¾ÎâÎ¾’¢ge des ÎâÎ¾cabanesÎ¾Î n'a... dans les deux textes, rien de comparableÎ¾Î. ÎâÎ¾Analyse et gen’åseÎ¾: regards sur la th’©orie du devenir de l'entendement au XVIIIe
 si’åcleÎ¾Î, in *Cahiers pour l'analyse*, 4, p. 75.",,VUJI9EAP,journalArticle,1966,"Mosconi, Jean",Cahiers pour l'analyse,https://derridas-margins.princeton.edu/titles/175/,1 reference,1966,8/10/18 19:16,8/10/18 19:16,Analyse et gen’åse : regards sur la th’©orie du devenir de l'entendement au XVIIIe si’åcle,,,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1.1/c8258,extant
6,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/170a/,170,a,Footnote,https://derridas-margins.princeton.edu/titles/97/,365,Book,"Cette lettre n'a jamais ’©t’© publi’©e par la *Nouvelle Critique*. On peut la lire dans *Anthropologie Structurale*, p. 365.",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
7,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/191c/,191,c,Quotation,https://derridas-margins.princeton.edu/titles/97/,400-401,Book,"ÎâÎ¾Š—_ ’¾ cet ’©gard, ce sont les soci’©t’©s de l'homme moderne qui devraient plut’‚t ’étre d’©finies par un caract’åre privatif. Nos relations avec autrui ne sont plus, que de fa’_on occasionnelle et fragmentaire, fond’©es sur une exp’©rience globale, *cette appr’©hension concr’åte d'un sujet par un autre*. Elles r’©sultent, pour une large part, de reconstructions indirectes, ’¾ travers des documents ’©crits. Nous sommes reli’©s ’¾ notre pass’©, non plus par une tradition orale qui implique un *contact v’©cu* avec des personnes Š—– conteurs, pr’étres, sages ou anciens Š—–, mais par des livres *entass’©s* dans des biblioth’åques et ’¾ travers lesquels la critique s'’©vertue Š—– avec quelles difficult’©s Š—– ’¾ reconstituer le visage de leurs auteurs. Et sur le plan du pr’©sent, nous communiquons avec l'immense majorit’© de nos contemporains par toutes sortes d'interm’©diaires Š—– documents ’©crits ou m’©canismes administratifs Š—– qui ’©largissent sans doute immens’©ment nos contacts, mais leur conf’årent en m’éme temps un caract’åre d'*inauthenticit’©*. Celui-ci est devenu la marque m’éme des rapports entre le citoyen et les Pouvoirs. Nous n'entendons pas nous livrer au paradoxe, et d’©finir de fa’_on n’©gative l'immense r’©volution introduite par l'invention de l'’©criture. Mais il est indispensable de se rendre compte qu'elle a retir’© ’¾ l'humanit’© quelque chose d'essentiel, en m’éme temps qu'elle lui apportait tant de bienfaitsÎ¾Î (p. 400-402. Nous soulignons).",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
8,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/170b/,170,b,Quotation,https://derridas-margins.princeton.edu/titles/97/,365,Book,"ÎâÎ¾S'il [M. Rodinson] avait lu mon livre, au lieu de se contenter des extraits publi’©s il y a quelques mois, il y aurait trouv’©, en plus d'une hypoth’åse marxiste sur l'origine de l'’©criture, deux ’©tudes consacr’©es ’¾ des tribus br’©siliennes Š—– caduveo et bororo Š—– qui sont des tentatives d'interpr’©tation des superstructures indig’ånes fond’©es sur le mat’©rialisme dialectique, et dont la nouveaut’©, dans la litt’©rature ethnographique occidentale, m’©riterait peut-’étre plus de soin et de sympathie.Î¾Î",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
9,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/147e/,147,e,Footnote,https://derridas-margins.princeton.edu/titles/97/,400-403,Book,"Ce sont d'abord les *Tristes tropiques*, tout au long de cette Îâ Le’_on d'’©criture Î (ch. XVIII) dont on retrouve la substance th’©orique dans le second des *Entretiens avec Claude L’©vi-Strauss* (G. Charbonnier) (*Primitifs et civilis’©s*). C'est aussi l'*Anthropologie structurale* (*Probl’åmes de m’©thode et d'enseignement*, notamment dans le chapitre disant le Îâ crit’åre de lŠ—Èauthenticit’© Î p. 400). Enfin, de mani’åre moins directe, dans *La pens’©e sauvage*, sous un titre s’©duisant, *Le temps retrouv’©*.",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
10,Anthropologie structurale,https://derridas-margins.princeton.edu/references/de-la-grammatologie/181c/,181,c,Footnote,https://derridas-margins.princeton.edu/titles/97/,33,Book,"*Histoire et ethnologie* (R.M.M., 1949 et *Anthropologie structurale*, p. 33)Î¾: ÎâÎ¾L'ethnologue s'int’©resse surtout ’¾ ce qui n'est pas ’©crit, non pas tant parce que les peuples qu'il ’©tudie sont incapables d'’©crire, que parce que ce ’¾ quoi il s'int’©resse est diff’©rent de tout ce que les hommes songent habituellement ’¾ fixer sur la pierre ou sur le papier.Î¾Î",,MFVJJR9R,book,1958,"L’©vi-Strauss, Claude",,https://derridas-margins.princeton.edu/titles/97/,7 references 9 pages with documented annotations,1958,8/10/18 19:16,8/10/18 19:16,Anthropologie structurale,Plon,Paris,fr,Princeton University Library,http://findingaids.princeton.edu/collections/RBD1/c9166,annotated; extant; has insertions; digital edition
