book_title,page,page_location,ref_type,book_id,book_page,book_type,anchor_text,Item_Type,Publication_Year,Author,Language,avg_pos_EL
A study of glossematics,83,f,Footnote,https://derridas-margins.princeton.edu/titles/20/,,Book,"Cf. aussi Eli Fischer-Jorgensen Îâ Remarques sur les principes de l'analyse phon’©matique Î, in *Recherches Structurales*, 1949 (*Travaux du Cercle linguistique de Prague*, vol. V, p. 231 sq.) ; B. Siertsema, *A study of glossematics*, 1955 (et notamment le ch. VI), et Hennings Spang-Hanssen, *Glossematics*, in *Trends in European and American linguistics. 1930-1960*, 1963, p. 147 sq.",book,1955,"Siertsema, Bertha",en,83
"A study of writing the foundations of grammatology, 1952",13,b,Footnote,https://derridas-margins.princeton.edu/titles/98/,23,Book,"*Grammatologie*Î¾: ÎâÎ¾Trait’© des lettres, de l'alphabet, de la syllabation, de la lecture et de l'’©critureÎ¾Î, Littr’©. ’— notre connaissance, ce mot n'a ’©t’© utilis’©, de nos jours, pour d’©signer le projet d'une science moderne, que par I. J. Gelb. Cf. *A study of writing the foundations of grammatology*, 1952 (le sous-titre dispara’Ât dans la r’©’©dition de 1963). Malgr’© un souci de classification syst’©matique ou simplifi’©e et malgr’© des hypoth’åses controvers’©es sur la monog’©n’åse ou la polyg’©n’åse des ’©critures, ce livre r’©pond au mod’åle des histoires classiques de l'’©criture.",book,1963,"Gelb, Ignace J.",en,13
’_l’©ments de linguistique g’©n’©rale,77,d,Footnote,https://derridas-margins.princeton.edu/titles/105/,,Book,"2) dans les *’_l’©ments de linguistique g’©n’©rale* dont tout le chapitre sur le caract’åre vocal du langage reprend les arguments et les mots du *Chapitre VI* du *Cours*Î¾: ÎâÎ¾On apprend ’¾ parler avant d'apprendre ’¾ lireÎ¾: la lecture vient doubler la parole, *jamais l'inverse*. Î (Nous soulignons. Cette proposition nous para’Ât massivement contestable, et d’©j’¾ au niveau de l'exp’©rience commune qui a dans cette argumentation force de loi.)",book,1960,"Martinet, Andr’©",fr,104.3333333
’_l’©ments de linguistique g’©n’©rale,118,b,Footnote,https://derridas-margins.princeton.edu/titles/105/,14-Dec,Book,"Ainsi, A. Martinet prend ’¾ son compte et d’©veloppe longuement la d’©finition du langage comme ÎâÎ¾instrumentÎ¾Î, ÎâÎ¾outilÎ¾Î, etc., alors que la nature Îâ m’©taphorique Î de cette d’©finition, reconnue par l'auteur, aurait d’ la rendre probl’©matique et renouveler la question sur le sens de l'instrumentalit’©, sur le sens du fonctionnement et sur le fonctionnement du sens. (Cf. *El’©ments de linguistique g’©n’©rale*, pp. 12-14, 25).",book,1960,"Martinet, Andr’©",fr,104.3333333
’_l’©ments de linguistique g’©n’©rale,118,c,Footnote,https://derridas-margins.princeton.edu/titles/105/,25,Book,"Ainsi, A. Martinet prend ’¾ son compte et d’©veloppe longuement la d’©finition du langage comme ÎâÎ¾instrumentÎ¾Î, ÎâÎ¾outilÎ¾Î, etc., alors que la nature Îâ m’©taphorique Î de cette d’©finition, reconnue par l'auteur, aurait d’ la rendre probl’©matique et renouveler la question sur le sens de l'instrumentalit’©, sur le sens du fonctionnement et sur le fonctionnement du sens. (Cf. *El’©ments de linguistique g’©n’©rale*, pp. 12-14, 25).",book,1960,"Martinet, Andr’©",fr,104.3333333
’_loge de la main,122,b,Footnote,https://derridas-margins.princeton.edu/titles/184/,,Book,"Nous renvoyons aussi ’¾ l'Î¾*Eloge de la main* de H. Focillon et au livre de Jean Brun, *La main et l'esprit*. Dans un contexte tout diff’©rent, nous avions d’©sign’© ailleurs l'*’©poque* de l'’©criture comme la *suspension* de l'*’étre-debout (Force et signification* et *La parole souffl’©e* in *L'’©criture et la diff’©rence*).",bookSection,1934,"Focillon, Henri",fr,122
’_mile ou de l'’©ducation,311,e,Footnote,https://derridas-margins.princeton.edu/titles/88/,,Book,"*Emile*, p. 162 (tout le d’©veloppement qui commence par ÎâÎ¾On pense bien qu'’©tant si peu press’© de lui apprendre ’¾ lire l'’©criture, je ne le serais pas non plus de lui apprendre ’¾ lire la musiqueÎ¾Î),",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,321,c,Footnote,https://derridas-margins.princeton.edu/titles/88/,,Book,"A propos de la ÎâÎ¾langue naturelleÎ¾Î de l'enfantÎ¾:Î¾ÎâÎ¾Au langage de la voix *se joint* celui du geste, non moins ’©nergique. Ce geste n'est pas dans les faibles mains des enfants, il est sur leurs visagesÎ¾Î (*Emile*, p. 45. Nous soulignons.).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,425,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾... on nous donne gravement pour de la philosophie les r’éves de quelques mauvaises nuits. On me dira que je r’éve aussiÎ¾; j'en conviensÎ¾: mais ce que les autres n'ont garde de faire, je donne mes r’éves pour des r’éves, laissant chercher s'ils ont quelque chose d'utile aux gens ’©veill’©s.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,336,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾*Toutes nos langues sont des ouvrages de l'art*. On a longtemps cherch’© s'il y avait une *langue naturelle* et commune ’¾ tous les hommesÎ¾; sans doute il y en a uneÎ¾; *et c'est celle que les enfants parlent avant de savoir parler. Cette langue n'est pas articul’©e, mais elle est accentu’©e, sonore, intelligible. L'usage des n’‚tres nous l'a fait n’©gliger au point de l'oublier tout ’¾ fait*. Etudions les enfants, et bient’‚t nous la rapprendrons aupr’ås d'eux. Les nourrices sont nos ma’Âtres dans cette langueÎ¾; elles entendent tout ce que disent leurs nourrissonsÎ¾; elles leur r’©pondent, elles ont avec eux des dialogues tr’ås bien suivisÎ¾; et quoiqu'elles prononcent des mots, ces mots sont parfaitement inutilesÎ¾; *ce n'est point le sens des mots qu'ils entendent, mais l'accent dont il est accompagn’©*.Î¾Î (P. 45. Nous soulignons.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,262,b,Footnote,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Ainsi na’Ât la piti’©, premier sentiment relatif qui touche le c–ur humain selon l'ordre de la nature. Pour devenir sensible et pitoyable, il faut que l'enfant sache qu'il y a des ’étres semblables ’¾ lui qui souffrent ce qu'il a souffert, qui sentent les douleurs qu'il a senties, et d'autres dont il doit avoir l'id’©e, comme pouvant les sentir aussi. En effet, comment nous laissons-nous ’©mouvoir ’¾ la piti’©, si ce n'est en nous transportant hors de nous et nous identifiant avec l'animal souffrant, en quittant, pour ainsi dire, notre ’étre pour prendre le sien ? Nous ne souffrons qu'autant que nous jugeons qu'il souffreÎ¾; ce n'est pas dans nous, c'est dans lui que nous souffrons. Ainsi nul ne devient sensible que quand son imagination s'anime et commence ’¾ le transporter hors de lui.Î¾Î (*Emile*, p. 261.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,281,b,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾Au lieu de me h’¢ter d'exiger du mien des actes de charit’©, j'aime mieux en faire en sa pr’©sence, et lui ’‚ter m’éme le moyen de m'imiter en cela, comme un honneur qui n'est pas de son ’¢ge.Î¾Î",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,254,c,Quotation,https://derridas-margins.princeton.edu/titles/88/,,Book,"ÎâÎ¾C'est ainsi que la nature, qui fait tout pour le mieux, l'a d'abord institu’©. Elle ne lui donne imm’©diatement que les d’©sirs n’©cessaires a sa conservation et les facult’©s suffisantes pour les satisfaire. Elle a mis toutes les autres comme en r’©serve au fond de son ’¢me pour s'y d’©velopper au besoin. Ce n'est que dans cet ’©tat primitif que l'’©quilibre du pouvoir et du d’©sir se rencontre et que l'homme n'est pas malheureux. *Sit’‚t que ces facult’©s virtuelles se mettent en action, l'imagination, la plus active de toutes, s'’©veille et les devance.* C'est l'imagination qui ’©tend pour nous la mesure des possibles, soit en bien, soit en mal, et qui, par cons’©quent, excite et nourrit les d’©sirs par l'espoir de les satisfaire. Mais l'objet qui paraissait d'abord sous la main fuit plus vite qu'on ne peut le poursuivre... Ainsi l'on s'’©puise sans arriver au terme ; et plus nous gagnons sur la jouissance, plus le bonheur s'’©loigne de nous. Au contraire, plus l'homme est rest’© pr’ås de sa condition naturelle, *plus la diff’©rence de ses facult’©s ’¾ ses d’©sirs est petite*, et moins par cons’©quent il est ’©loign’© d'’étre heureux... Le monde r’©el a ses bornes, le monde imaginaire est infini ; ne pouvant ’©largir l'un, r’©tr’©cissons l'autreÎ¾; car c'est de leur seule diff’©rence que naissent toutes les peines qui nous rendent vraiment malheureux.Î¾Î (*Emile*, p. 64. Nous soulignons.)",book,1762,"Rousseau, Jean-Jacques",,286.1219512
’_mile ou de l'’©ducation,204,a,Quotation,https://derridas-margins.princeton.edu/titles/88/,18,Book,"ÎâÎ¾Combien j'insisterais sur ce point, s'il ’©tait moins d’©courageant de rebattre en vain des sujets utilesÎ¾! Ceci tient ’¾ plus de choses qu'on ne pense. Voulez-vous Tendre chacun ’¾ ses premiers devoirsÎ¾? Commencez par les m’åresÎ¾; vous serez
’©tonn’©s des changements que vous produirez. Tout vient successivement de cette premi’åre d’©pravationÎ¾: tout l'ordre moral s'alt’åreÎ¾; le naturel s'’©teint dans tous les c–urs...Î¾Î (p. 18).",book,1762,"Rousseau, Jean-Jacques",,286.1219512
